,mean,Relation_std_mean
Weizenbrot,63.44796210822469,46.048354207599054
Mischbrot,71.8607187738913,27.905043158623645
Vollkornbrot,108.28398187184763,24.866347702111433
Stangenbrote,39.81643862779704,44.31978312179094
Spezialbrot,56.31028445699932,47.72592570504162
Brötchen,375.43120554683236,37.00475944800486
Süsse_Brötchen,196.6703987389846,29.277010943736734
Herzhafte_Brötchen,93.94742245402732,39.31988713334285
KonditoreiBlech,98.69264563459342,64.96084585115142
Stückgebäck,152.08573777431263,58.5791039147517
Blechkuchen,93.15492354066757,50.07647221596323
Weihnachtsartikel,21.198582615782538,254.1447291511207
Wochentag,3.0015159171298635,66.66244714860895
Tag,15.719050025265286,56.0132571099705
Jahr,2017.2314300151593,0.07819917257206971
Monat,6.2531581606872155,55.42349581939008
Gesamt,715.1505913855924,25.445051901359285
Wochenende_flag,0.28600303183425974,158.04203705319742
Season,2.492167761495705,46.20383019921102
Christmas,0.32642748863062154,143.68405274440494
Closed,0.022738756947953513,655.7400832152921
Outlier,0.007579585649317837,1144.5502529068144
New_Years_Eve,0.0025265285497726125,1987.4596739331887
Feiertag_DE,0.02627589691763517,608.9041569744816
Ostern,0.004547751389590703,1479.8633403537326
Holidays_SH,0.23749368367862556,179.22782908733728
SUMMER_SH,0.10914603335017686,285.7649986624455
Niederschlag,2.0080848913592724,195.34092014568571
Sonne_h,3.6234830722587166,124.21786256790838
Temperatur_max,13.282819605861546,56.10114119813715
Brückentage,0.2112177867609904,193.29608774020096
Kieler_Woche,0.022738756947953513,655.7400832152921
