,Model,Label,MAE,MAPE
0,Prophet-Basis,Weizenbrot,13.103962726219276,17.895890182848877
1,Prophet-Basis,Mischbrot,13.828498663389336,17.983037034661084
2,Prophet-Basis,Vollkornbrot,18.472252418510223,13.724894800492212
3,Prophet-Basis,Stangenbrote,11.836891768817859,34.40230885740504
4,Prophet-Basis,Spezialbrot,12.686422953474153,18.716665253510612
5,Prophet-Basis,Brötchen,54.67256691397481,12.44190338238444
6,Prophet-Basis,Süsse_Brötchen,23.905453962768963,9.919087625458978
7,Prophet-Basis,Herzhafte_Brötchen,25.650356497331416,24.78579273815299
8,Prophet-Basis,KonditoreiBlech,20.275142284398314,28.8461235020198
9,Prophet-Basis,Stückgebäck,68.64874683512828,48.65051767234128
10,Prophet-Basis,Blechkuchen,24.273761943969376,28.690331170843063
11,Prophet-Basis,Weihnachtsartikel,8.279523203659137,18.6882465656859
