,Model,Label,MAE,MAPE
0,Prophet-Basis,Weizenbrot,13.18060999545875,18.006222582897646
1,Prophet-Basis,Mischbrot,13.821257854501159,17.9544904137088
2,Prophet-Basis,Vollkornbrot,18.469717158271788,13.721410121600613
3,Prophet-Basis,Stangenbrote,11.840483011307631,34.31327429789431
4,Prophet-Basis,Spezialbrot,12.685970198471356,18.715479336098632
5,Prophet-Basis,Brötchen,54.58440469645737,12.40326392902852
6,Prophet-Basis,Süsse_Brötchen,23.9201636926249,9.929626352698497
7,Prophet-Basis,Herzhafte_Brötchen,25.61823407328046,24.742623372631375
8,Prophet-Basis,KonditoreiBlech,20.236546180057054,28.70025512827604
9,Prophet-Basis,Stückgebäck,67.69597708678414,47.91290720664158
10,Prophet-Basis,Blechkuchen,24.763378848076197,29.719691193542452
11,Prophet-Basis,Weihnachtsartikel,8.27996236613249,18.687885034783296
