,Model,Label,MAE,MAPE
0,Prophet-Holiday,Weizenbrot,11.98781731731383,17.549201662155074
1,Prophet-Holiday,Mischbrot,12.843399093241858,18.163925249478734
2,Prophet-Holiday,Vollkornbrot,16.134679749289567,12.900739890271279
3,Prophet-Holiday,Stangenbrote,11.455827952676954,35.49488667262353
4,Prophet-Holiday,Spezialbrot,12.107906938074768,19.237667988848926
5,Prophet-Holiday,Brötchen,46.633617041296596,10.904981208700354
6,Prophet-Holiday,Süsse_Brötchen,20.38123636273351,9.066867474043235
7,Prophet-Holiday,Herzhafte_Brötchen,24.32438240893128,23.641743022504315
8,Prophet-Holiday,KonditoreiBlech,19.106053301339337,23.9260314716552
9,Prophet-Holiday,Stückgebäck,44.44561192954111,29.409930477632095
10,Prophet-Holiday,Blechkuchen,22.84841373514799,25.88902756326266
11,Prophet-Holiday,Weihnachtsartikel,7.585267343623267,17.57523421792971
12,Prophet-Holiday-KW,Weizenbrot,11.949998405841251,17.42811795953264
13,Prophet-Holiday-KW,Mischbrot,12.825466290620769,18.10930126533779
14,Prophet-Holiday-KW,Vollkornbrot,16.20129182026777,12.927002488009462
15,Prophet-Holiday-KW,Stangenbrote,11.35713054578642,34.620670123736815
16,Prophet-Holiday-KW,Spezialbrot,12.190609728085294,19.363110295193394
17,Prophet-Holiday-KW,Brötchen,46.22369885584814,10.88592114421533
18,Prophet-Holiday-KW,Süsse_Brötchen,20.175472558577965,9.017405077898589
19,Prophet-Holiday-KW,Herzhafte_Brötchen,24.377310842399236,23.830040359339357
20,Prophet-Holiday-KW,KonditoreiBlech,20.35230024052522,25.311120722606724
21,Prophet-Holiday-KW,Stückgebäck,45.057239718561696,30.06503767424482
22,Prophet-Holiday-KW,Blechkuchen,22.674751722951687,25.83915434535265
23,Prophet-Holiday-KW,Weihnachtsartikel,7.616917378741433,17.571388897604425
24,Prophet-Holiday-ohneSais,Weizenbrot,11.98781731731383,17.549201662155074
25,Prophet-Holiday-ohneSais,Mischbrot,12.843399093241858,18.163925249478734
26,Prophet-Holiday-ohneSais,Vollkornbrot,16.134679749289567,12.900739890271279
27,Prophet-Holiday-ohneSais,Stangenbrote,11.455827952676954,35.49488667262353
28,Prophet-Holiday-ohneSais,Spezialbrot,12.107906938074768,19.237667988848926
29,Prophet-Holiday-ohneSais,Brötchen,46.633617041296596,10.904981208700354
30,Prophet-Holiday-ohneSais,Süsse_Brötchen,20.38123636273351,9.066867474043235
31,Prophet-Holiday-ohneSais,Herzhafte_Brötchen,24.32438240893128,23.641743022504315
32,Prophet-Holiday-ohneSais,KonditoreiBlech,19.106053301339337,23.9260314716552
33,Prophet-Holiday-ohneSais,Stückgebäck,44.44561192954111,29.409930477632095
34,Prophet-Holiday-ohneSais,Blechkuchen,22.84841373514799,25.88902756326266
35,Prophet-Holiday-ohneSais,Weihnachtsartikel,7.585267343623267,17.57523421792971
36,Prophet-Holiday-KWohneSais,Weizenbrot,12.161253820413293,17.629495325587712
37,Prophet-Holiday-KWohneSais,Mischbrot,12.802554893660123,17.87416675137888
38,Prophet-Holiday-KWohneSais,Vollkornbrot,16.88876339025912,13.533268869322976
39,Prophet-Holiday-KWohneSais,Stangenbrote,11.39294191938046,34.15322173926831
40,Prophet-Holiday-KWohneSais,Spezialbrot,12.179980362272065,19.300613804618244
41,Prophet-Holiday-KWohneSais,Brötchen,49.55961707851759,12.509676682421924
42,Prophet-Holiday-KWohneSais,Süsse_Brötchen,20.839954894309898,9.504540716034777
43,Prophet-Holiday-KWohneSais,Herzhafte_Brötchen,25.317983261002816,25.406657523677218
44,Prophet-Holiday-KWohneSais,KonditoreiBlech,19.84503451402419,28.241833774783647
45,Prophet-Holiday-KWohneSais,Stückgebäck,69.26043882794657,50.8986014573327
46,Prophet-Holiday-KWohneSais,Blechkuchen,24.30209422527987,30.454529280806184
47,Prophet-Holiday-KWohneSais,Weihnachtsartikel,7.604564039400908,17.469373016776686
48,Prophet-Holiday-ALLE,Weizenbrot,12.302896867192342,17.957563198331727
49,Prophet-Holiday-ALLE,Mischbrot,12.89639448044759,18.089113337776638
50,Prophet-Holiday-ALLE,Vollkornbrot,16.767741253355606,13.334529787454171
51,Prophet-Holiday-ALLE,Stangenbrote,11.47078223493688,35.01096385906061
52,Prophet-Holiday-ALLE,Spezialbrot,12.318143992636202,19.518650800490583
53,Prophet-Holiday-ALLE,Brötchen,49.727194845773845,12.39789920780359
54,Prophet-Holiday-ALLE,Süsse_Brötchen,21.057874845801415,9.547427089903564
55,Prophet-Holiday-ALLE,Herzhafte_Brötchen,25.686786522509752,25.800666611013256
