,Model,Label,MAE_NEW,MAPE_NEW
1,SARIMAX_BOXCOX,Weizenbrot,20.291093974820786,15.474022292991002
2,SARIMAX_BOXCOX,Mischbrot,16.232546707397592,19.685877781237632
3,SARIMAX_BOXCOX,Vollkornbrot,18.097057452129356,12.429291422209513
4,SARIMAX_BOXCOX,Spezialbrot,11.356500933527178,15.948933298689628
5,SARIMAX-CF,Stangenbrote,12.930263673286696,36.87621620734
6,SARIMAX_BOXCOX,Brötchen,61.37312660066304,12.385237104951536
7,SARIMAX-CF,SüsseBrötchen,25.908362731903303,11.215817345930907
8,SARIMX_BOXCOX,Herzhafte_Brötchen,21.5920323216108,16.79349382132743
9,SARIMAX_BOXCOX,KonditoreiBlech,17.227928475142473,22.53419100653384
10,SARIMX-CF,Stückgebäck,37.25863749035049,22.881809290090178
11,SARIMAX-CF,Blechkuchen,23.278017859615193,26.92653673598277
12,SARIMAX-CF,Weihnachtsartikel,8.479283172019736,16.62450963135763
13,SARIMAX-CF,Brot,26.70266961504684,8.235819084895185
14,SARIMAX-CF,Brot/Baguette,31.061870713504536,13.511670626087561
15,SARIMAX-CF,Cakes,40.91561117730514,16.981459112136925
