,Model,Label,MAE,MAPE
0,VARMAX,Weizenbrot,12.03238930671177,33.69689929046568
1,VARMAX,Mischbrot,14.34156430651535,21.809540404988777
2,VARMAX,Vollkornbrot,26.44100035393705,33.82672698680443
3,VARMAX,Stangenbrote,11.683338648227279,30.116608370530244
4,VARMAX,Spezialbrot,22.20954057389536,53.184771977874334
5,VARMAX,Brötchen,55.0455494629776,15.595871211060363
6,VARMAX,Süsse_Brötchen,22.584981795087646,12.474084773436871
7,VARMAX,Herzhafte_Brötchen,37.253221914709066,46.282937320757576
8,VARMAX,KonditoreiBlech,72.68815678655892,50.907536079653596
9,VARMAX,Stückgebäck,39.67444461159969,23.52754069069189
10,VARMAX,Blechkuchen,23.5063048221958,35.50866975159997
