,ds,yhat
0,2019-01-01,-51.70430231298728
1,2019-01-02,301.187665668727
2,2019-01-03,307.49237492623087
3,2019-01-04,319.40262106035846
4,2019-01-05,403.06402946859873
5,2019-01-06,451.5045506110269
6,2019-01-07,276.1939791768666
7,2019-01-08,275.140403271954
8,2019-01-09,262.27956457002796
9,2019-01-10,266.46414417996544
10,2019-01-11,277.0188502216239
11,2019-01-12,360.1917180443845
12,2019-01-13,408.87705286045133
13,2019-01-14,234.29140222242015
14,2019-01-15,234.9175086012673
15,2019-01-16,224.41033955589677
16,2019-01-17,231.60068552460476
17,2019-01-18,245.72917339497022
18,2019-01-19,333.0468885670592
19,2019-01-20,386.2232468887163
20,2019-01-21,216.14036919458627
21,2019-01-22,221.68620668048712
22,2019-01-23,216.17859579872524
23,2019-01-24,228.38418144902062
24,2019-01-25,247.43201167082162
25,2019-01-26,339.5637707397207
26,2019-01-27,397.2265056847904
27,2019-01-28,230.98497548823295
28,2019-01-29,240.16318921432688
29,2019-01-30,237.78542088526052
30,2019-01-31,252.60912362277588
31,2019-02-01,273.71654217500225
32,2019-02-02,367.4128104230891
33,2019-02-03,426.0016512726143
34,2019-02-04,259.81373544205957
35,2019-02-05,268.69463446625565
36,2019-02-06,265.4608151302288
37,2019-02-07,278.9446295589956
38,2019-02-08,298.26214052840874
39,2019-02-09,389.85742831732483
40,2019-02-10,445.95979348438703
41,2019-02-11,276.7268677185927
42,2019-02-12,282.5779589177276
43,2019-02-13,276.1642517628418
44,2019-02-14,286.42535730098786
45,2019-02-15,302.53309204356987
46,2019-02-16,391.0819863973028
47,2019-02-17,444.2282212642985
48,2019-02-18,271.94794244190626
49,2019-02-19,275.2166467866528
50,2019-02-20,266.49440846705954
51,2019-02-21,274.7949480622012
52,2019-02-22,289.3064339667301
53,2019-02-23,376.7293363634996
54,2019-02-24,429.09828410231466
55,2019-02-25,256.1567795900179
56,2019-02-26,259.38380332984576
57,2019-02-27,250.995196004666
58,2019-02-28,260.0263059493285
59,2019-03-01,275.630780029435
60,2019-03-02,364.56662252468317
61,2019-03-03,418.70171207244914
62,2019-03-04,247.5055300009865
63,2019-03-05,252.92346645102637
64,2019-03-06,246.89471300591597
65,2019-03-07,258.44871976654383
66,2019-03-08,276.6820917896796
67,2019-03-09,368.39286484992977
68,2019-03-10,425.26960349688636
69,2019-03-11,256.4999875154008
70,2019-03-12,264.4926033224806
71,2019-03-13,260.91108523102207
72,2019-03-14,274.78408946168776
73,2019-03-15,295.1599863830747
74,2019-03-16,388.8890383595934
75,2019-03-17,447.4957690080114
76,2019-03-18,279.9041103947278
77,2019-03-19,289.00639983935946
78,2019-03-20,286.2135099422155
79,2019-03-21,300.5780995200945
80,2019-03-22,321.1268790615192
81,2019-03-23,414.79048090656477
82,2019-03-24,472.9588965546669
83,2019-03-25,304.3229805456704
84,2019-03-26,312.2904394989936
85,2019-03-27,308.0517201978336
86,2019-03-28,320.7162812376358
87,2019-03-29,339.3221428649933
88,2019-03-30,430.91312248206697
89,2019-03-31,486.7769711428227
90,2019-04-01,315.4028220438632
91,2019-04-02,320.7437177864542
92,2019-04-03,313.79776465165264
93,2019-04-04,323.75690212660305
94,2019-04-05,339.69319313905794
95,2019-04-06,428.7828720704738
96,2019-04-07,482.22663354973315
97,2019-04-08,308.32250116813
98,2019-04-09,311.5744091414442
99,2019-04-10,302.78819826982016
100,2019-04-11,311.2325371016794
101,2019-04-12,326.00170286936697
102,2019-04-13,414.38630586332573
103,2019-04-14,467.47572279859395
104,2019-04-15,293.3465186739358
105,2019-04-16,297.0173651205837
106,2019-04-17,289.06031458647976
107,2019-04-18,298.7744644297629
108,2019-04-19,-14.551493766384525
109,2019-04-20,580.2262598229489
110,2019-04-21,461.3179753123447
111,2019-04-22,498.03522848836496
112,2019-04-23,296.3274313274876
113,2019-04-24,291.5454384231897
114,2019-04-25,304.6106409596526
115,2019-04-26,324.5128434655277
116,2019-04-27,418.6214932148124
117,2019-04-28,477.6556053253857
118,2019-04-29,309.10660392750873
119,2019-04-30,318.8892580923647
120,2019-05-01,105.15573943954345
121,2019-05-02,340.5386484562627
122,2019-05-03,362.69753943026154
123,2019-05-04,458.7538190278046
124,2019-05-05,519.2520940625745
125,2019-05-06,343.5244121605727
126,2019-05-07,353.751621065245
127,2019-05-08,351.7830418299374
128,2019-05-09,366.9120366989641
129,2019-05-10,388.0613018585367
130,2019-05-11,482.7462436492855
131,2019-05-12,541.4115790607161
132,2019-05-13,371.0870525645645
133,2019-05-14,378.7321330528641
134,2019-05-15,373.9120468688588
135,2019-05-16,386.02515151400394
136,2019-05-17,404.0536043744731
137,2019-05-18,495.67251437660195
138,2019-05-19,551.267626375303
139,2019-05-20,377.70539472232707
140,2019-05-21,382.5227117653341
141,2019-05-22,375.11683458927735
142,2019-05-23,384.9840687550998
143,2019-05-24,401.14622038176134
144,2019-05-25,491.4058743883347
145,2019-05-26,546.0458493418959
146,2019-05-27,371.7146378733494
147,2019-05-28,376.46247939512085
148,2019-05-29,369.44676591956784
149,2019-05-30,552.3812897261081
150,2019-05-31,405.57930022655734
151,2019-06-01,497.62887163160894
152,2019-06-02,554.3537062362195
153,2019-06-03,374.1734611979206
154,2019-06-04,381.43483801953096
155,2019-06-05,377.0577141166009
156,2019-06-06,390.51855444684026
157,2019-06-07,410.70541029623564
158,2019-06-08,505.471218534745
159,2019-06-09,564.7024174772023
160,2019-06-10,444.45199924995296
161,2019-06-11,403.61532455422815
162,2019-06-12,400.7863721907218
163,2019-06-13,415.42374239208596
164,2019-06-14,436.37101350735776
165,2019-06-15,531.5470807128999
166,2019-06-16,590.6984289085905
167,2019-06-17,419.63722815432055
168,2019-06-18,427.8218470585748
169,2019-06-19,423.61279135297036
170,2019-06-20,436.5665584604657
171,2019-06-21,455.5743710350067
172,2019-06-22,548.7100670179868
173,2019-06-23,605.6634627524904
174,2019-06-24,432.0926026259906
175,2019-06-25,438.0488969622744
176,2019-06-26,431.7463524107214
177,2019-06-27,442.8659546946771
178,2019-06-28,460.36924333643583
179,2019-06-29,552.4912498928461
180,2019-06-30,608.8544447276082
181,2019-07-01,434.93508934444696
182,2019-07-02,441.3334103414333
183,2019-07-03,436.0569917197381
184,2019-07-04,448.8369973095678
185,2019-07-05,468.61831016135494
186,2019-07-06,563.6996134120825
187,2019-07-07,623.5303345038459
188,2019-07-08,453.2937723533454
189,2019-07-09,464.02516920839804
190,2019-07-10,463.41224174422223
191,2019-07-11,481.1262564404949
192,2019-07-12,505.99170287735905
193,2019-07-13,606.2763622799872
194,2019-07-14,671.1738923999769
195,2019-07-15,505.5060980001242
196,2019-07-16,520.6909280543248
197,2019-07-17,524.0617743559185
198,2019-07-18,545.2145823833132
199,2019-07-19,572.8577589515281
200,2019-07-20,675.2524235681467
201,2019-07-21,741.3803139912224
202,2019-07-22,575.7643688159785
203,2019-07-23,590.2853252875693
204,2019-07-24,592.0179982267871
205,2019-07-25,610.5922204082807
206,2019-07-26,634.7204149713573
207,2019-07-27,732.7851616694787
208,2019-07-28,793.689330475135
