,ds,yhat
0,2019-01-01,-24.808280346176968
1,2019-01-02,168.77428936675318
2,2019-01-03,167.05896121472526
3,2019-01-04,170.45251148894556
4,2019-01-05,203.40278857807837
5,2019-01-06,230.73351166165506
6,2019-01-07,155.352405632467
7,2019-01-08,154.73026929787034
8,2019-01-09,151.92671230741792
9,2019-01-10,153.1489529070019
10,2019-01-11,160.3450877336956
11,2019-01-12,196.5095022448803
12,2019-01-13,227.9823128707496
13,2019-01-14,152.92332264017233
14,2019-01-15,153.7078965184495
15,2019-01-16,150.72164000788916
16,2019-01-17,149.5827545233085
17,2019-01-18,152.25930201858446
18,2019-01-19,186.19742548176373
19,2019-01-20,215.6199488375515
20,2019-01-21,140.91834249727623
21,2019-01-22,141.6493137833809
22,2019-01-23,139.94913002225627
23,2019-01-24,142.10170097297032
24,2019-01-25,148.77848096709957
25,2019-01-26,187.57310575598177
26,2019-01-27,219.43829580142696
27,2019-01-28,145.90775389000805
28,2019-01-29,146.99979636802868
29,2019-01-30,145.86063279276698
30,2019-01-31,147.62662532068123
31,2019-02-01,153.38560768017913
32,2019-02-02,190.99180787835695
33,2019-02-03,223.9717802551935
34,2019-02-04,152.6667899822736
35,2019-02-05,156.41236779532534
36,2019-02-06,157.18040112346836
37,2019-02-07,161.27660434901708
38,2019-02-08,168.00497416080103
39,2019-02-09,204.17572250234394
40,2019-02-10,233.85555518509685
41,2019-02-11,158.57748158086258
42,2019-02-12,157.11358686621327
43,2019-02-13,153.4970749579045
44,2019-02-14,153.08749193472244
45,2019-02-15,158.14100980091092
46,2019-02-16,192.9611345762044
47,2019-02-17,224.54130295832326
48,2019-02-18,152.47515003533812
49,2019-02-19,153.8010723325899
50,2019-02-20,154.74668008230938
51,2019-02-21,158.24312655536002
52,2019-02-22,164.959516897391
53,2019-02-23,201.69263584593313
54,2019-02-24,234.0194883901612
55,2019-02-25,159.45846982151727
56,2019-02-26,159.27362140205932
57,2019-02-27,156.64616084570923
58,2019-02-28,155.09183992019712
59,2019-03-01,158.72376233218816
60,2019-03-02,194.18053201696594
61,2019-03-03,225.95012010497067
62,2019-03-04,153.42407001831626
63,2019-03-05,154.35298257690377
64,2019-03-06,154.2851819224586
65,2019-03-07,157.51730230283758
66,2019-03-08,162.94705053630344
67,2019-03-09,199.27763377617663
68,2019-03-10,230.4381543328714
69,2019-03-11,155.9747146360924
70,2019-03-12,156.69325147351802
71,2019-03-13,155.04926549130542
72,2019-03-14,156.33542162061883
73,2019-03-15,162.5047559150191
74,2019-03-16,199.12795653058433
75,2019-03-17,230.69183074924447
76,2019-03-18,157.14241670704888
77,2019-03-19,159.1150870749345
78,2019-03-20,158.617253772913
79,2019-03-21,161.59150175484234
80,2019-03-22,168.10031448257982
81,2019-03-23,205.49578344643723
82,2019-03-24,237.47055207188933
83,2019-03-25,165.60416891858935
84,2019-03-26,169.34429284576538
85,2019-03-27,170.78008555822365
86,2019-03-28,176.11812642292298
87,2019-03-29,184.99896422519484
88,2019-03-30,224.73269550171676
89,2019-03-31,255.83628593767006
90,2019-04-01,183.1774205631952
91,2019-04-02,185.33559508458868
92,2019-04-03,182.4256133651044
93,2019-04-04,182.27115790723138
94,2019-04-05,185.836215225866
95,2019-04-06,219.64834514648658
96,2019-04-07,248.49000947635335
97,2019-04-08,172.14364352100364
98,2019-04-09,171.75253098743912
99,2019-04-10,170.28551144255394
100,2019-04-11,172.48369123301012
101,2019-04-12,179.083580105953
102,2019-04-13,215.9204968154467
103,2019-04-14,248.4681235722096
104,2019-04-15,175.40021018524692
105,2019-04-16,176.2657773432802
106,2019-04-17,174.53915736061222
107,2019-04-18,174.82361039680592
108,2019-04-19,-9.149354486611266
109,2019-04-20,278.09466975224166
110,2019-04-21,243.3121132254883
111,2019-04-22,249.79394731974958
112,2019-04-23,168.8687609778188
113,2019-04-24,169.2704895373106
114,2019-04-25,172.26642523598338
115,2019-04-26,177.59298553923927
116,2019-04-27,215.32935028990934
117,2019-04-28,245.33971639865953
118,2019-04-29,173.53507679523244
119,2019-04-30,175.71697585299742
120,2019-05-01,60.448051999576556
121,2019-05-02,174.57345622507
122,2019-05-03,181.0561350445581
123,2019-05-04,218.24934145260963
124,2019-05-05,251.974361299678
125,2019-05-06,180.1088093711332
126,2019-05-07,184.15713535378148
127,2019-05-08,186.07555739258294
128,2019-05-09,190.76666393204198
129,2019-05-10,196.57935588961695
130,2019-05-11,233.9106165389771
131,2019-05-12,264.99085632897516
132,2019-05-13,189.97400339080627
133,2019-05-14,188.98384723665063
134,2019-05-15,185.88667456358345
135,2019-05-16,185.4487529273093
136,2019-05-17,189.4379082141183
137,2019-05-18,226.22964439306713
138,2019-05-19,257.0979871433531
139,2019-05-20,185.63719525446092
140,2019-05-21,188.0977857417859
141,2019-05-22,188.61422626492023
142,2019-05-23,193.92926360876828
143,2019-05-24,201.4347484401431
144,2019-05-25,237.81510275709948
145,2019-05-26,269.03598339746054
146,2019-05-27,195.28787727160167
147,2019-05-28,195.02943834908032
148,2019-05-29,192.3967432862822
149,2019-05-30,274.65683776296595
150,2019-05-31,198.3774235796737
151,2019-06-01,234.0489950999275
152,2019-06-02,266.83225749849083
153,2019-06-03,193.03245028570814
154,2019-06-04,193.38835468077247
155,2019-06-05,194.80279450756308
156,2019-06-06,197.44299314527552
157,2019-06-07,202.4607502811863
158,2019-06-08,238.96306571997175
159,2019-06-09,270.4285110462494
160,2019-06-10,208.13260294915722
161,2019-06-11,196.71828932525742
162,2019-06-12,193.43872184387456
163,2019-06-13,195.59384645857605
164,2019-06-14,200.51325593394748
165,2019-06-15,234.95934398661396
166,2019-06-16,265.86801247197974
167,2019-06-17,191.8391897218542
168,2019-06-18,193.212379701162
169,2019-06-19,191.45527487606682
170,2019-06-20,190.48052772496436
171,2019-06-21,195.32948931237235
172,2019-06-22,253.0507692026602
173,2019-06-23,280.83234995120495
174,2019-06-24,219.42407974624575
175,2019-06-25,209.32981486688254
176,2019-06-26,226.87902742692617
177,2019-06-27,198.0166219891974
178,2019-06-28,220.86462620286167
179,2019-06-29,329.34797533773815
180,2019-06-30,331.2707716554465
181,2019-07-01,225.62127937153954
182,2019-07-02,225.70726472795943
