,Model,Label,MAE,MAPE
1,Random_Forest-Basis,Weizenbrot,11.580865603644646,20.43113632145929
2,Random_Forest-Basis,Mischbrot,14.054669703872438,20.89437760632814
3,Random_Forest-Basis,Vollkornbrot,24.59908883826879,19.608865755704617
4,Random_Forest-Basis,Spezialbrot,22.838268792710707,36.39806982145019
5,Random_Forest-Basis,Stangenbrote,14.157175398633257,46.281981386569214
6,Random_Forest-Basis,Brötchen,61.82687927107062,15.16775628072219
7,Random_Forest-Basis,Süsse Brötchen,24.57630979498861,11.876150993662565
8,Random_Forest-Basis,Herzhafte_Brötchen,30.849658314350798,26.977482926515762
9,Random_Forest-Basis,KonditoreiBlech,54.73348519362187,87.64946334250446
10,Random_Forest-Basis,Stückgebäck,38.59225512528474,26.019429175450014
11,Random_Forest-Basis,Blechkuchen,26.5626423690205,30.36321034289488
12,Random_Forest-Basis,Weihnachtsartikel,5.85876993166287,31.218148187837908
18,Random_Forest-Advanced,Brötchen,56.07289293849659,13.535642765392264
19,Random_Forest-Advanced,Süsse Brötchen,22.170842824601365,10.802428570409505
20,Random_Forest-Advanced,Herzhafte_Brötchen,30.849658314350798,26.977482926515762
30,Random_Forest-Advanced_year,Brötchen,59.90432801822323,14.757452260750911
31,Random_Forest-Advanced_year,Süsse Brötchen,23.248291571753985,11.243179379754483
21,Random_Forest-Advanced,KonditoreiBlech,30.52391799544419,45.831334899458646
22,Random_Forest-Advanced,Stückgebäck,38.82232346241458,25.843807345315433
23,Random_Forest-Basis,Blechkuchen,26.209567198177677,30.573227641075746
24,Random_Forest-Basis,Weihnachtsartikel,5.85876993166287,23.435271415802198
13,Random_Forest-Advanced,Weizenbrot,12.580865603644646,21.657389060054697
14,Random_Forest-Advanced,Mischbrot,15.446469248291573,21.88128257777217
15,Random_Forest-Advanced,Vollkornbrot,24.047835990888384,19.300740190161335
16,Random_Forest-Advanced,Spezialbrot,17.767653758542142,28.316608635679703
17,Random_Forest-Advanced,Stangenbrote,14.749430523917995,48.49266240975013
42,Random_Forest-Advanced_inclGesamt,Brötchen,56.783599088838265,13.682034508010846
43,Random_Forest-Advanced_Gesamt,Süsse Brötchen,22.403189066059227,10.93620318917361
54,Random_Forest-Advanced_Closedrepl,Brötchen,67.50341685649202,14.099044091167364
55,Random_Forest-Advanced_Closedrepl,Süsse Brötchen,27.01138952164009,11.132134685220182
56,Random_Forest-Advanced,Herzhafte_Brötchen,30.849658314350798,26.977482926515762
