Filiale,Warengruppe,Artikelgruppe_Bez,Umsatz
1,Brot,Mischbrot,236979.13631731228
1,Brot,Spezialbrot,30391.05936954865
1,Brot,Stangenbrote,208309.3155072157
1,Brot,Vollkornbrot,188154.32802552142
1,Brot,Weizenbrot,94001.00370075318
1,Brötchen,Brötchen,387685.9200440402
1,Brötchen,Süsse_Brötchen,293952.02182158746
1,Konditorei,KonditoreiBlech,192546.9303946422
1,Kuchen,Blechkuchen,177424.80013994963
1,Kuchen,Stückgebäck,339763.3657884516
1,Spezial_Brötchen,Herzhafte_Brötchen,237148.44813655212
1,Weihnachtsartikel,Weihnachtsartikel,26249.869812603964
2,Brot,Mischbrot,142212.36245353092
2,Brot,Spezialbrot,111438.05294040151
2,Brot,Stangenbrote,78796.73204441046
2,Brot,Vollkornbrot,214294.00012438616
2,Brot,Weizenbrot,125563.51701217679
2,Brötchen,Brötchen,742978.3557771809
2,Brötchen,Süsse_Brötchen,389210.7191044505
2,Konditorei,KonditoreiBlech,195312.7457108599
2,Kuchen,Blechkuchen,184353.59368698095
2,Kuchen,Stückgebäck,300977.67505536485
2,Spezial_Brötchen,Herzhafte_Brötchen,185921.94903652038
2,Weihnachtsartikel,Weihnachtsartikel,41951.994996633606
3,Brot,Mischbrot,137720.18696520405
3,Brot,Spezialbrot,49232.370350218
3,Brot,Stangenbrote,133384.42735407327
3,Brot,Vollkornbrot,276681.7463844196
3,Brot,Weizenbrot,187194.44430086925
3,Brötchen,Brötchen,993385.4662420312
3,Brötchen,Süsse_Brötchen,241591.2421332596
3,Konditorei,KonditoreiBlech,241059.83656544876
3,Kuchen,Blechkuchen,275680.5143404719
3,Kuchen,Stückgebäck,520010.3927465806
3,Spezial_Brötchen,Herzhafte_Brötchen,248236.76711678389
3,Weihnachtsartikel,Weihnachtsartikel,27395.61036019205
